CPU,PerfIndex
Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz (4 cores),7.35
Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz (4 cores),7.35
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz (4 cores),7.35
Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz (4 cores),7.35
Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz (4 cores),7.18
Intel(R) Xeon(R) Gold 6336Y CPU @ 2.40GHz (4 cores),7.06
Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz (4 cores),7.06
Intel(R) Xeon(R) Platinum 8260 CPU @ 2.40GHz (4 cores),7.06
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz (4 cores),7.06
Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz (4 cores),7.06
Intel(R) Core(TM) i5-9400H CPU @ 2.50GHz (8 cores),7
Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (4 cores),6.92
Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz (12 cores),6.76
Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz (4 cores),6.76
Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz (4 cores),6.76
Intel(R) Xeon(R) CPU E7-8880 v3 @ 2.30GHz (4 cores),6.76
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz (4 cores),6.76
Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz (4 cores),6.76
Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz (8 cores),6.72
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz (4 cores),6.65
Intel(R) Core(TM) i7-8700T CPU @ 2.40GHz (12 cores),6.59
Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz (4 cores),6.47
Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz (4 cores),6.47
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz (4 cores),6.47
Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz (4 cores),6.47
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz (4 cores),6.38
Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz (8 cores),6.31
Intel(R) Xeon(R) Platinum 8176 CPU @ 2.10GHz (4 cores),6.17
Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz (8 cores),6.17
Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz (4 cores),6.17
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (4 cores),6.17
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (8 cores),6.17
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz (4 cores),6.17
Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz (4 cores),6.17
Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz (6 cores),6.16
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz (4 cores),6.12
AMD Ryzen 7 3700X 8-Core Processor              (2 cores),6
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz (16 cores),5.88
Intel(R) Core(TM) i5-10400T CPU @ 2.00GHz (12 cores),5.88
Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz (6 cores),5.76
Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz (4 cores),5.76
Intel(R) Xeon(R) Gold 6246 CPU @ 3.30GHz (2 cores),5.54
AMD EPYC 7763 64-Core Processor                 (2 cores),5.41
AMD EPYC 7571 (2 cores),5.41
Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (8 cores),5.29
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz (8 cores),5.29
Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (8 cores),5.21
Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz (2 cores),5.21
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (8 cores),5.21
Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz (2 cores),5.04
Intel(R) Xeon(R) Gold 6154 CPU @ 3.00GHz (2 cores),5.04
Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (8 cores),5
AMD EPYC 7R13 Processor (2 cores),4.99
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz (8 cores),4.94
